flight_number,date_utc,rocket,payload_mass_kg,launchpad,landing_success
45,2017-08-14T16:31:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
46,2017-08-24T18:50:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
47,2017-09-07T13:50:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
48,2017-10-09T12:37:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
49,2017-10-11T22:53:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
50,2017-10-30T19:34:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
51,2017-12-15T15:36:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
52,2017-12-23T01:27:23.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
53,2018-01-08T01:00:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
54,2018-01-31T21:25:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
60,2018-04-18T22:51:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
61,2018-05-11T20:14:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
65,2018-07-22T05:50:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
66,2018-07-25T11:39:26.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
67,2018-08-07T05:18:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
68,2018-09-10T04:45:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
69,2018-10-08T02:22:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
70,2018-11-15T20:46:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
71,2018-12-03T18:34:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
72,2018-12-05T18:16:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,0.0
74,2019-01-11T15:31:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
75,2019-02-22T01:45:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
76,2019-03-02T07:45:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
78,2019-05-04T06:48:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
79,2019-05-24T02:30:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
80,2019-06-12T14:17:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
82,2019-07-25T22:01:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
84,2019-11-11T14:56:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
85,2019-12-05T17:29:23.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
86,2019-12-17T00:10:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
87,2020-01-07T02:19:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
89,2020-01-29T14:06:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
90,2020-02-17T15:05:55.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,0.0
91,2020-03-07T04:50:31.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
92,2020-03-18T12:16:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,0.0
93,2020-04-22T19:30:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
94,2020-05-30T19:22:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
95,2020-06-04T01:25:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
96,2020-06-13T09:21:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
97,2020-06-30T19:55:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
98,2020-07-20T21:30:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
99,2020-08-07T05:12:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
100,2020-08-18T14:31:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
101,2020-08-30T23:18:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
102,2020-09-03T12:46:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
103,2020-10-06T11:29:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
104,2020-10-18T12:25:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
105,2020-10-24T15:31:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
106,2020-11-05T23:24:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
107,2020-11-16T00:27:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
108,2020-11-21T17:17:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
109,2020-11-25T02:13:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
110,2020-12-06T16:17:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
111,2020-12-13T17:30:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
112,2020-12-19T14:00:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
113,2021-01-08T02:15:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
114,2021-01-20T13:02:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
115,2021-01-24T15:00:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
116,2021-02-04T06:19:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
117,2021-02-16T03:59:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,0.0
118,2021-03-04T08:24:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
119,2021-03-11T08:13:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
120,2021-03-14T10:01:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
121,2021-03-24T08:28:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
122,2021-04-07T16:34:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
123,2021-04-23T09:49:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
124,2021-04-29T03:44:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
125,2021-05-04T19:01:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
126,2021-05-09T06:42:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
127,2021-05-15T22:54:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
128,2021-05-26T18:59:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
129,2021-06-03T17:29:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
130,2021-06-06T04:26:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
131,2021-06-17T16:09:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
132,2021-06-30T19:31:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
133,2021-08-29T07:14:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
134,2021-09-14T03:55:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
